Product Type,Product Title,Variant Title,Variant ID,SKU,Price,Compare at Price,Wholesale Price
Gemstones,10x8mm Fantasy Emerald Cut Natural Yellow Citrine,Default Title,40188788146329,120-04210-1,110.55,,36.85
Gemstones,10x8mm Fantasy Oval Cut Natural Yellow Citrine,Default Title,40188786999449,120-05310-1,75.00,,25
Gemstones,10x8mm Fantasy Oval Cut Sky Blue Topaz,Default Title,40188792275097,171-05310-1,112.50,,37.5
Gemstones,10x8mm Labradorite Hexagon Tablets,Default Title,40188689907865,610-13410-1,54.00,,18
Gemstones,10x8mm Natural Emerald Cut Oregon Blue Hyalite Opal,Default Title,40188719693977,403-12010-W,260.82,,86.94
Gemstones,10x8mm Natural Hexagonal Chocolate Corundum,Default Title,40188921381017,030-01610-NI,150.00,,50
Gemstones,10x8mm Natural Oregon Sunstone GeoCuts™,Default Title,40188888154265,230-08410-1,450.00,,150
Gemstones,10x8mm Natural Oval Cabochon Cut South Dakota Rose Quartz,Default Title,40188915613849,101-09510-1,25.50,,8.5
Gemstones,10x8mm Natural Oval Goshenite,Default Title,40188705439897,064-00110-1,233.10,,77.7
Gemstones,10x8mm Natural Oval Grape Garnet®,Default Title,40188774514841,045-00110-1,1155.00,,385
Gemstones,10x8mm Natural Oval Heliodor,Default Title,40188857712793,071-00110-1,495.00,,165
Gemstones,10x8mm Natural Oval Rhodolite Garnet,Default Title,40188688531609,040-00110-1,209.70,,69.9
Gemstones,10x8mm Natural Oval Rose Cut South Dakota Rose Quartz,Default Title,40188816818329,101-10310-1,63.00,,21
Gemstones,10x8mm Natural Oval Yellow Oregon Opal,Default Title,40188942123161,403-00110-Y,540.00,,180
Gemstones,10x8mm Natural Radial Cushion Cut Rhodolite Garnet,Default Title,40188937404569,040-32010-1,1389.00,,463
Gemstones,10x8mm Opposed Bar Emerald Cut Sky Blue Topaz,Default Title,40188910764185,171-03610-1,224.40,,74.8
Gemstones,10x8mm Oval A Iris Amethyst®,Default Title,40188782280857,090-00110-A,54.00,,18
