Product Type,Product Title,Variant Title,Variant ID,SKU,Price,Compare at Price,Wholesale Price
Gemstones,10mm Concave Trillion Cut Fire Citrine®,Default Title,40188306587801,121-31491-1_3-19,79.75,
Gemstones,10mm Concave Trillion cut Madeira Citrine,Default Title,40188309700761,122-31491-1,51.00,
Gemstones,10mm Fancy Cushion Cut Gem Blue Mexican Chalcedony,Default Title,40188759605401,371-01991-1,46.00,
Gemstones,10mm Fancy Cushion Cut Sky Blue Topaz,Default Title,40188864004249,171-01991-1,72.80,
Gemstones,10mm Hexagonal Cut Natural Raja Garnet,Default Title,40188876685465,041-01601-5T10_5.48,220.00,
Gemstones,10mm Labradorite Hexagonal Tablets,Default Title,40188746203289,610-13491-1,30.00,
Gemstones,10mm Liberian Sapphire Bronze Hexagon Tablets,Default Title,40188690235545,030-13591-BK,106.00,
Gemstones,10mm Natural Fancy Cushion Cut Brazilian Green Quartz,Default Title,40188814590105,125-01991-1,71.00,
Gemstones,10mm Natural Fancy Radial Trillion Cut Yellow Brazilian Opal,Default Title,40188806004889,407-31491-D,160.00,
Gemstones,10mm Natural Hexagonal Oregon Sunstone,Default Title,40188894183577,230-01691-1,420.00,
Gemstones,10mm Natural Radial Cut Modified Trillion Brazilian Green Quartz,Default Title,40188814229657,125-30791-1,58.80,
Gemstones,10mm Natural Round Brazilian Green Quartz,Default Title,40188813607065,125-01091-1,72.15,
Gemstones,10mm Natural Round Meteorite,Default Title,40188707602585,565-09191-1,56.50,
Gemstones,10mm Natural Round Portuguese Cut Heliodor,Default Title,40188858957977,071-10191-1,274.40,
Gemstones,10mm Natural Round Rose Cut South Dakota Rose Quartz,Default Title,40188817703065,101-10491-1,32.00,
Gemstones,10mm Natural Saddle Cut Oregon Blue Hyalite Opal,Default Title,40188718088345,403-08691-1,162.50,
Gemstones,10mm Natural Trillion Cut Amethyst (Medium Purple),Default Title,40188775628953,090-01491-A,25.00,
Gemstones,10mm Natural Trillion Cut Brown Zircon,Default Title,40188873965721,137-01491-1,637.50,
Gemstones,10mm Natural Trillion Cut Oregon Blue Hyalite Opal,Default Title,40188718776473,403-01491-W,192.95,
Gemstones,10mm Portuguese Round Montana Amethyst,Default Title,40188908011673,093-10191-1,59.50,
Gemstones,10mm Princess Cut AA Iris Amethyst®,Default Title,40188780839065,090-12191-AA,98.50,
Gemstones,10mm Princess Cut Aquamarine,Default Title,40188428222617,060-12191-A,956.25,
Gemstones,10mm Princess Cut Natural Fire Citrine®,Default Title,40188770517145,121-12191-1,91.25,
Gemstones,10mm Princess Cut Natural Madeira Citrine,Default Title,40188769763481,122-12191-1,91.25,
Gemstones,10mm Radial Cushion Cut Natural White Topaz,Default Title,40188698165401,172-32091-D,39.20,
Gemstones,10mm Radial Cut Octagon AA Purple Amethyst,Default Title,40188786540697,090-32491-AA,97.20,
Gemstones,10mm Radial Cut Round Oro Verde Quartz,Default Title,40188787261593,105-30991-1,22.00,
Gemstones,10mm Radial Cut Snowflake AA Purple Amethyst,Default Title,40188786245785,090-31591-AA,55.00,
Gemstones,10mm Radial Trillion Cut Raja® Garnet,Default Title,40188879372441,041-31491-1,107.97,
Gemstones,1.0mm Round AAA Australian Sapphire Melee,Default Title,40188802859161,035-01010-AAA,7.00,
Gemstones,10mm Round Cabochon Cut Amelia Teal Amazonite™,Default Title,40188913909913,602-09191-1,10.00,
Gemstones,10mm Round Cabochon Cut Gem Blue Mexican Chalcedony,Default Title,40188757737625,371-09191-1,34.00,
Gemstones,10mm Round Cabochon Cut Ice Blue Mexican Chalcedony (Light),Default Title,40188758098073,371-09191-2,17.00,
Gemstones,10mm Round Cabochon Cut Montana Agate,Default Title,40188953526425,359-09191-1,18.00,
Gemstones,10mm Round Cabochon Cut Purple Sage Chalcedony (Dark Purple),Default Title,40188743942297,367-09191-1,58.00,
Gemstones,10mm Round Cabochon Cut Purple Sage Chalcedony (Medium Purple),Default Title,40188743254169,367-09191-2,35.00,
Gemstones,10mm Round Cabochon Cut Purple Sage Chalcedony (Smoky Purple),Default Title,40188742631577,367-09191-3,19.00,
Gemstones,10mm Round Double Checkerboard Synch Cut A Amethyst,Default Title,40188843851929,090-81091-ACB,57.35,
Gemstones,10mm Round Fancy Cut Gem Blue Mexican Chalcedony,Default Title,40188761866393,371-01091-1,41.00,
Gemstones,10mm Round Fancy Cut Natural Oregon Sunstone,Default Title,40188601663641,230-01091-FCY,214.71,
Gemstones,10mm Round Fancy Radial Cut White Topaz,Default Title,40188898017433,172-30991-1,107.25,
Gemstones,10mm Round Fancy Top Natural Amethyst,Default Title,40188675293337,090-01091-AAA,118.00,
Gemstones,10mm Round Fancy Top Natural Black Spinel,Default Title,40188666052761,157-01091-1,30.00,
Gemstones,1.0mm Round Natural Arkansas White Quartz Melee,Default Title,40188644491417,098-01010-1,4.80,
Gemstones,10mm Round Natural Citrine,Default Title,40188665135257,120-01091-1,34.00,
Gemstones,10mm Round Natural Fire Citrine®,Default Title,40188664283289,121-01091-1,85.15,
Gemstones,10mm Round Natural Madeira Citrine,Default Title,40188665790617,122-01091-1,85.15,
Gemstones,10mm Round Natural Portuguese Cut Brazilian Lilac Quartz,Default Title,40188810985625,398-10191-1,37.40,
Gemstones,10mm Round Natural Portuguese Cut Goshenite,Default Title,40188698558617,064-10191-1,98.55,
Gemstones,10mm Round Natural Rose Cut Liberian Ruby,Default Title,40188716548249,017-10491-B,110.00,
Gemstones,10mm Round Portuguese Cut Sky Blue Topaz,Default Title,40188860629145,171-10191-1,51.45,
Gemstones,1.0mm Round Purple Anthill Garnet Melee,Default Title,40188720971929,044-01010-P,6.35,
Gemstones,10mm Round Raja® Garnet,Default Title,40188878717081,041-01091-1,96.20,
Gemstones,1.0mm Round Red Anthill Garnet Melee,Default Title,40188877275289,044-01010-R,6.35,
Gemstones,10mm Round Rose Cut Gem Blue Mexican Chalcedony,Default Title,40188760391833,371-10491-1,43.00,
Gemstones,10mm Round Rose Cut Natural Black Spinel,Default Title,40188663595161,157-10491-1,36.00,
Gemstones,10mm Round Sky Blue Topaz,Default Title,40188863152281,171-01091-1,47.85,
Gemstones,10mm Round Swiss Blue Topaz,Default Title,40188861153433,170-01091-1,90.75,
